author,user_profile_link,text,timestamp,likes,date,time
Karim Bj,https://web.facebook.com/profile.php?id=100008737577490&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfODU1ODc4NTE2MDYxMjUx&__tn__=R-R,Manamchan,Friday 8 September 2023 at 23:59,0,08 September 2023,23:59
Ibrahim Awad,https://web.facebook.com/profile.php?id=100065120170265&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMTM3OTM0MDA1OTY2NjU5Mg%3D%3D&__tn__=R-R,يارب رحمتك يارب سترك وعفوك,Friday 8 September 2023 at 23:50,0,08 September 2023,23:50
Abdolkarim El Hassnawi,https://web.facebook.com/abdolkarim.elhassnawi?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfNjcxNDk5NjEzODU0Nzg3NQ%3D%3D&__tn__=R-R,علامات الساعة يارب السلامة,Saturday 9 September 2023 at 00:02,0,09 September 2023,00:02
Mehdi Mido,https://web.facebook.com/mehdi.maraval.7?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfNjA3Nzc5MjU3OTQ5NDcz&__tn__=R-R,ربي يسترهم ان شاء الله,Saturday 9 September 2023 at 21:49,9,09 September 2023,21:49
Zahra El,https://web.facebook.com/profile.php?id=100065414926211&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfNjk0MTk4Nzg2MDYzMTE2&__tn__=R-R,غنموووتو,Friday 8 September 2023 at 23:55,0,08 September 2023,23:55
Mostaf Wac,https://web.facebook.com/mostaf.wac.5?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMTM1NDU1MzM5ODYwODE2OA%3D%3D&__tn__=R-R,Aw,Friday 8 September 2023 at 23:38,0,08 September 2023,23:38
الميريول الميريول المغيريبي,https://web.facebook.com/profile.php?id=100093156649707&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMTk2NjQyOTUyNzA4NDc3OA%3D%3D&__tn__=R-R,فين تي,Friday 8 September 2023 at 23:48,0,08 September 2023,23:48
ماجد ماجد,https://web.facebook.com/profile.php?id=100061491064473&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfNjQwMjE3NTA4MTc4ODk5&__tn__=R-R,مراكش,Friday 8 September 2023 at 23:41,3,08 September 2023,23:41
Abdeslam Tnaibi,https://web.facebook.com/abdeslam.tnaibi?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMTI3MDkyNzQzMzU4NzA2Mw%3D%3D&__tn__=R-R,ياربي سلامة,Friday 8 September 2023 at 23:47,0,08 September 2023,23:47
المملكه المغربية الشريفة,https://web.facebook.com/profile.php?id=100065699022101&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMTMzMjUzMTU4NzM0NjM4OQ%3D%3D&__tn__=R-R,شمن مدينه هادي,Friday 8 September 2023 at 23:45,0,08 September 2023,23:45
